,Report_Date_as_MM_DD_YYYY,Instrument,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Dealer Net,Asset Manager Net,Levered Net,Other Rept Positions Net,Non Rept Positions Net,Dealer Net Pct OI,AM Net Pct OI,HF Net Pct OI,Other Rept Positions Net Pct OI,Non Rept Positions Net Pct OI,Price
0,2018-07-03,1 Month US,5921,3312,609,373,0,0,0,1,2794,1785,0,0,0,450,360,72.6,39.6,88.2,70.4,2703,0,-2793,0,90,0.4565107245397737,0.0,-0.4717108596520858,0.0,0.01520013511231211,90.28950500488281
1,2018-07-10,1 Month US,6670,3481,683,800,0,0,0,35,2693,1964,0,0,0,390,530,75.4,37.7,88.9,65.1,2798,0,-2658,0,-140,0.4194902548725637,0.0,-0.3985007496251874,0.0,-0.020989505247376312,90.3058853149414
2,2018-07-17,1 Month US,8879,5557,2356,738,0,0,0,28,3233,2145,0,25,0,411,382,82.9,37.6,92.6,65.0,3201,0,-3205,-25,29,0.3605135713481248,0.0,-0.3609640725306904,-0.0028156323910350266,0.0032661335736006306,90.33863067626953
3,2018-07-24,1 Month US,12655,7410,3562,1061,0,0,0,748,4773,2855,102,0,0,479,404,79.7,50.0,91.3,75.5,3848,0,-4025,102,75,0.3040695377321217,0.0,-0.3180561043065982,0.008060055314105096,0.005926511260371394,90.36315155029297
4,2018-07-31,1 Month US,14365,9576,4733,794,0,0,0,242,5186,3336,0,0,0,417,316,83.4,47.6,92.9,74.8,4843,0,-4944,0,101,0.3371388792203272,0.0,-0.34416985729202926,0.0,0.007030978071702053,90.39591979980469
5,2018-08-07,1 Month US,13100,8186,3737,1523,0,0,0,189,4676,2899,200,0,0,103,265,88.5,56.6,96.1,80.6,4449,0,-4487,200,-162,0.33961832061068703,0.0,-0.3425190839694657,0.015267175572519083,-0.012366412213740458,90.43283081054688
6,2018-08-14,1 Month US,17027,10397,6175,1552,0,0,0,259,4489,4571,200,0,0,48,240,88.8,61.599999999999994,96.0,84.0,4222,0,-4230,200,-192,0.24795912374464085,0.0,-0.2484289657602631,0.011746050390556175,-0.011276208374933929,90.47381591796875
7,2018-08-21,1 Month US,16121,9969,4700,1661,0,0,0,233,5540,3955,200,0,0,103,265,88.1,57.6,95.9,80.6,5269,0,-5307,200,-162,0.3268407667018175,0.0,-0.32919794057440604,0.012406178276781837,-0.010049004404193288,90.51481628417969
8,2018-08-28,1 Month US,16796,9992,5840,1627,0,0,0,1682,5324,3221,200,0,0,74,784,88.5,53.3,96.2,81.3,4152,0,-3642,200,-710,0.24720171469397476,0.0,-0.21683734222433912,0.011907597046915932,-0.04227196951655156,90.53119659423828
9,2018-09-04,1 Month US,11785,5661,3981,1769,0,0,0,524,2248,3729,50,0,0,52,58,90.2,69.2,96.6,87.3,1680,0,-1724,50,-6,0.14255409418752651,0.0,-0.14628765379719982,0.004242681374628765,-0.0005091217649554518,90.56647491455078
10,2018-09-11,1 Month US,15448,6582,4471,3039,0,0,0,450,2719,5136,200,0,0,41,83,85.9,66.3,95.3,86.7,2111,0,-2269,200,-42,0.1366519937856033,0.0,-0.14687985499741066,0.01294665976178146,-0.0027187985499741068,90.59930419921875
11,2018-09-18,1 Month US,17533,5428,3812,4905,0,0,0,574,2336,6358,200,0,0,68,122,85.8,72.5,95.6,88.5,1616,0,-1762,200,-54,0.09216905264358638,0.0,-0.10049620715222723,0.011407060970740889,-0.00307990646210004,90.61571502685547
12,2018-09-25,1 Month US,21478,5341,2826,7647,0,0,0,1197,3955,6965,250,0,0,78,85,80.4,69.5,93.3,87.2,2515,0,-2758,250,-7,0.11709656392587764,0.0,-0.1284104665238849,0.011639817487661793,-0.00032591488965453023,90.64036560058594
13,2018-10-02,1 Month US,20963,3621,1301,7058,0,0,0,2580,4973,7582,65,0,25,32,24,83.6,67.5,91.7,88.0,2320,0,-2393,65,8,0.11067118255974813,0.0,-0.11415350856270572,0.0031007012355101847,0.00038162476744740733,90.68305969238281
14,2018-10-09,1 Month US,25494,4335,1301,10650,0,0,0,1831,4911,8592,50,0,0,36,40,85.70000000000002,68.0,93.20000000000002,88.6,3034,0,-3080,50,-4,0.11900839413195262,0.0,-0.12081274025260846,0.001961245783321566,-0.00015689966266572527,90.72417449951172
15,2018-10-16,1 Month US,27153,3972,1456,11682,0,0,0,2311,5104,8866,50,0,0,272,45,82.6,67.5,92.1,86.8,2516,0,-2793,50,227,0.09266011122159613,0.0,-0.102861562258314,0.0018414171546422126,0.008360033882075646,90.75708770751953
16,2018-10-23,1 Month US,29012,5259,1528,11978,0,0,0,2006,5750,9185,50,0,0,534,571,79.5,65.0,90.2,86.1,3731,0,-3744,50,-37,0.12860195781056113,0.0,-0.1290500482558941,0.0017234247897421756,-0.00127533434440921,90.78999328613281
17,2018-10-30,1 Month US,28675,5550,1315,11262,0,0,0,1842,6038,9489,50,0,0,482,571,78.1,64.2,90.0,85.0,4235,0,-4196,50,-89,0.14768962510897995,0.0,-0.1463295553618134,0.0017436791630340018,-0.003103748910200523,90.83111572265625
18,2018-11-06,1 Month US,22643,2541,3455,5969,26,0,0,6189,5549,7230,200,0,0,488,440,60.3,51.9,79.2,83.2,-914,26,640,200,48,-0.04036567592633485,0.0011482577396988033,0.02826480590027823,0.008832751843836948,0.0021198604425208675,90.8442611694336
19,2018-11-13,1 Month US,25314,5320,3557,5413,100,0,0,5719,7107,8074,200,0,0,488,1163,61.89999999999999,47.39999999999999,80.6,78.5,1763,100,-1388,200,-675,0.0696452555897922,0.003950383187169155,-0.054831318637907876,0.00790076637433831,-0.0266650865133918,90.90194702148438
20,2018-11-20,1 Month US,26121,5211,3820,5292,100,0,0,6879,7946,7930,200,0,0,509,1133,61.20000000000001,45.4,79.0,79.7,1391,100,-1067,200,-624,0.053252172581447876,0.0038283373530875542,-0.0408483595574442,0.0076566747061751084,-0.023888825083266337,90.951416015625
21,2018-11-27,1 Month US,25494,5172,3570,5283,100,0,0,6816,8108,7399,200,0,0,524,1134,62.39999999999999,46.3,80.6,80.1,1602,100,-1292,200,-610,0.06283831489762297,0.003922491566643132,-0.05067859104102926,0.007844983133286264,-0.023927198556523102,90.98430633544922
