,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
VOO,US,stocks,1,200,,0.0,3.0179374572358126,8.498813049722235,3.031348165198316,11.675588537322389,19.065009183185524,98.3052153030981
QQQ,Nasdaq 100,stocks,1,180,,0.0,4.308838066711674,11.085945872635552,6.253949613638632,12.389638057814926,27.14719802324056,150.015714020743
IWM,Russell 2000,stocks,1,70,,0.0,3.0960685929608918,8.87084222052132,3.9798075412161795,23.5181300028454,13.598003683189589,59.683244629685525
EWJ,Japan,stocks,1,70,,0.0,1.0666089534795642,7.6895184146429765,-4.60533675192081,20.59864309026183,39.37201204981232,95.44422082185598
FXI,China,stocks,1,70,,0.0,1.7379339810075431,5.582595894367943,-4.604238971346058,-1.2180039844374388,26.598905405078032,82.95860194145361
EWG,Germany,stocks,1,60,,0.0,1.8269282791038028,9.542287603130992,-3.6396690342203346,0.07086883533954139,35.764274500725406,114.38198919616649
EWU,UK,stocks,1,60,,0.0,0.2727104533432178,8.095879505949272,1.6804955195360627,20.333989334766915,42.70734903129589,98.14956315477367
INDA,India,stocks,1,60,,0.0,1.29712076949572,7.230205723568102,-5.893430676227807,-4.854367592457574,-8.286408304902283,19.604154774601295
EWT,Taiwan,stocks,1,50,,0.0,4.93890733270664,15.178316150144312,11.273429686336822,39.909534601877816,65.49673088239825,177.88122893170055
EWZ,Brazil,stocks,1,50,,0.0,0.31453483585449765,12.663043326150714,7.716282869552127,52.986717021820176,72.84480530788382,62.990314525781876
EZA,South Africa,stocks,1,40,,0.0,1.0535100397291153,13.941860030420989,-1.6857720489240187,35.70169214033878,74.71879489613308,131.62614837841497
EWA,Australia,stocks,1,40,,0.0,1.4075069508922926,11.372838218296296,3.986253718920131,15.703854469882671,21.049217767283,68.79910243096933
EWY,South Korea,stocks,1,45,,0.0,4.46190631589379,20.776732018513762,10.795103048736314,101.76328472910066,160.95310553493937,202.83455906296592
EWC,Canada,stocks,1,45,,0.0,2.2551138686495387,8.061816989132055,5.030768509652407,23.694551284396432,39.472747981565384,93.66363761971809
XLK,Technology,stocks,2,150,VOO,0.0,5.384944746534194,13.433964567364388,8.10061481981111,14.633164507464494,30.989251966239557,159.59706962844444
XLF,Financials,stocks,2,100,VOO,0.0,2.7575294436846023,6.360854190446956,1.4474228254053172,2.7733596773608116,4.164579409690087,66.28991775757027
XLV,Healthcare,stocks,2,90,VOO,0.0,0.3122712113848322,1.3928905604385284,-4.886228401202581,16.030377496162977,3.2126049071377465,20.434410552880617
XLY,Consumer Disc,stocks,2,80,VOO,0.0,4.685978336547334,8.591379506393675,1.9696956231948455,6.416003116205402,8.769579465095488,78.66033888984171
